feature,PC1,PC2,PC3,PC4,PC5,PC6
bpm_z,0.41009198420776993,-0.009344858259359929,0.15940189886170972,-0.11542831502630622,0.1525417532648236,-0.07154648419430909
vorp_z,0.46245961768886434,-0.018385640739744392,0.06610602046165379,-0.08960515775405747,0.050141643119358384,0.0469569925493889
per_z,0.40779715765801744,-0.022353227356027558,0.02204490101139749,0.14335924083354734,-0.005301658283017061,-0.06852808471529127
ws_z,0.4503713839842915,0.019271486371478647,0.07535919699953222,0.0404219708111607,0.21401373211615823,0.06254134858181869
ts_percent_z,0.24399749838140714,0.04464153819927483,0.12557361648468354,0.07749574984939796,0.4051524578152075,0.14588372496322471
usg_percent_z,0.26415577587369155,0.10341666337477684,-0.31562379834540477,0.3859903211772004,-0.665524564994927,0.03265219148130111
ast_percent_z,0.3004282415144092,-0.058485156315893794,-0.5327905099097158,-0.35874468369969326,-0.14786962513177665,0.24880043841852711
stl_percent_z,0.10175311710246539,-0.23115415805356884,-0.01787135335414335,-0.4680252813383232,-0.15801700647677627,-0.7771757885348718
blk_percent_z,0.06111512688246384,-0.5026502246247766,0.6327616278239149,-0.08987222231122713,-0.4490112620115733,0.30337260883706757
tov_percent_z,0.12313292727011946,0.36792544191080884,0.2978728406609346,0.42939545665471496,-0.11960066771202657,-0.4164364997048661
x3p_ar_z,0.0014513422844376711,0.7356198571727006,0.27453288993418806,-0.5111402999732567,-0.2420023756765138,0.17424762102879202
